,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series
0,200.0,0.0,-200.0,0.3126,0.46885,0.7501,seafloor,seafloor_series,6,1
1,200.0,100.0,-200.0,0.3126,0.53135,0.7501,seafloor,seafloor_series,6,1
2,500.0,0.0,-200.0,0.5001,0.46885,0.7501,seafloor,seafloor_series,6,1
3,500.0,100.0,-200.0,0.5001,0.53135,0.7501,seafloor,seafloor_series,6,1
4,800.0,0.0,-200.0,0.6876,0.46885,0.7501,seafloor,seafloor_series,6,1
5,800.0,100.0,-200.0,0.6876,0.53135,0.7501,seafloor,seafloor_series,6,1
7,700.0,0.0,-450.0,0.6251,0.46885,0.59385,rock1,right_series,4,2
6,700.0,100.0,-450.0,0.6251,0.53135,0.59385,rock1,right_series,4,2
8,900.0,0.0,-450.0,0.7501,0.46885,0.59385,rock1,right_series,4,2
9,900.0,100.0,-450.0,0.7501,0.53135,0.59385,rock1,right_series,4,2
13,700.0,0.0,-700.0,0.6251,0.46885,0.4376,rock2,right_series,5,2
12,700.0,100.0,-700.0,0.6251,0.53135,0.4376,rock2,right_series,5,2
11,900.0,0.0,-700.0,0.7501,0.46885,0.4376,rock2,right_series,5,2
10,900.0,100.0,-700.0,0.7501,0.53135,0.4376,rock2,right_series,5,2
14,300.0,0.0,-200.0,0.3751,0.46885,0.7501,onlap_surface,onlap_series,3,3
15,300.0,100.0,-200.0,0.3751,0.53135,0.7501,onlap_surface,onlap_series,3,3
16,700.0,0.0,-1000.0,0.6251,0.46885,0.2501,onlap_surface,onlap_series,3,3
17,700.0,100.0,-1000.0,0.6251,0.53135,0.2501,onlap_surface,onlap_series,3,3
18,550.0,0.0,-500.0,0.53135,0.46885,0.5626,onlap_surface,onlap_series,3,3
19,550.0,100.0,-500.0,0.53135,0.53135,0.5626,onlap_surface,onlap_series,3,3
20,100.0,0.0,-400.0,0.2501,0.46885,0.6251,rock3,left_series,2,4
21,100.0,100.0,-400.0,0.2501,0.53135,0.6251,rock3,left_series,2,4
22,450.0,0.0,-1000.0,0.46885,0.46885,0.2501,rock3,left_series,2,4
23,450.0,100.0,-1000.0,0.46885,0.53135,0.2501,rock3,left_series,2,4
24,300.0,0.0,-500.0,0.3751,0.46885,0.5626,rock3,left_series,2,4
25,300.0,100.0,-500.0,0.3751,0.53135,0.5626,rock3,left_series,2,4
