,Unnamed: 0,Unnamed: 0.1,X,Y,Z,annotations,formation,formation_number,formation_value,isFault,order_series,series
10,10.0,7.0,2000.0,2000.0,10.0,"${\bf{x}}_{\alpha \,{\bf{1}},0}$",Gneiss,1,1,False,1,Default series
11,11.0,8.0,0.0,500.0,10.0,"${\bf{x}}_{\alpha \,{\bf{1}},1}$",Gneiss,1,1,False,1,Default series
0,0.0,11.0,2000.0,2000.0,1500.0,"${\bf{x}}_{\alpha \,{\bf{2}},0}$",Sandstone,2,2,False,1,Default series
1,1.0,12.0,0.0,500.0,1500.0,"${\bf{x}}_{\alpha \,{\bf{2}},1}$",Sandstone,2,2,False,1,Default series
6,6.0,3.0,2000.0,2000.0,1000.0,"${\bf{x}}_{\alpha \,{\bf{3}},0}$",Sandstone_2,3,3,False,1,Default series
7,7.0,4.0,0.0,500.0,1000.0,"${\bf{x}}_{\alpha \,{\bf{3}},1}$",Sandstone_2,3,3,False,1,Default series
8,8.0,5.0,2000.0,2000.0,700.0,"${\bf{x}}_{\alpha \,{\bf{4}},0}$",Schist,4,4,False,1,Default series
9,9.0,6.0,0.0,500.0,700.0,"${\bf{x}}_{\alpha \,{\bf{4}},1}$",Schist,4,4,False,1,Default series
4,4.0,1.0,2000.0,2000.0,1150.0,"${\bf{x}}_{\alpha \,{\bf{5}},0}$",Shale,5,5,False,1,Default series
5,5.0,2.0,0.0,500.0,1150.0,"${\bf{x}}_{\alpha \,{\bf{5}},1}$",Shale,5,5,False,1,Default series
2,2.0,0.0,0.0,500.0,1400.0,"${\bf{x}}_{\alpha \,{\bf{6}},0}$",Siltstone,6,6,False,1,Default series
3,3.0,10.0,2000.0,2000.0,1400.0,"${\bf{x}}_{\alpha \,{\bf{6}},1}$",Siltstone,6,6,False,1,Default series
